date,pcp,evap,debit
2000-05-27,0.0,5.14,0.009
2000-05-28,0.0,5.47,0.009
2000-05-29,1.5,5.16,0.008
2000-05-30,16.2,5.03,0.008
2000-05-31,0.0,4.73,0.008
2000-06-01,0.0,4.5,0.007
2000-06-02,0.0,4.82,0.007
2000-06-03,0.0,4.91,0.006
2000-06-04,0.0,5.42,0.006
2000-06-05,41.5,4.89,0.006
2000-06-06,0.0,5.11,0.006
2000-06-07,16.9,4.63,0.005
2000-06-08,10.4,4.38,0.005
2000-06-09,8.5,4.41,0.005
2000-06-10,0.0,4.45,0.004
2000-06-11,0.0,5.26,0.004
2000-06-12,0.0,4.34,0.004
2000-06-13,0.0,4.8,0.004
2000-06-14,0.0,4.24,0.004
2000-06-15,0.0,4.75,0.003
2000-06-16,0.0,4.55,0.003
2000-06-17,0.0,4.35,0.003
2000-06-18,0.0,4.35,0.003
2000-06-19,0.0,4.13,0.003
2000-06-20,0.0,4.42,0.003
2000-06-21,0.0,4.11,0.003
2000-06-22,18.2,3.84,0.002
2000-06-23,23.5,3.79,0.002
2000-06-24,25.3,4.19,0.002
2000-06-25,0.0,4.57,0.002
2000-06-26,0.0,4.11,0.002
2000-06-27,0.0,3.99,0.002
2000-06-28,14.5,4.07,0.002
2000-06-29,32.8,4.34,0.002
2000-06-30,0.0,3.98,0.002
2000-07-01,9.3,3.75,0.002
2000-07-02,0.0,4.17,0.001
2000-07-03,66.5,3.93,89.818
2000-07-04,0.0,4.23,11.131
2000-07-05,0.0,3.79,10.574
2000-07-06,0.0,3.33,10.046
2000-07-07,4.2,3.25,9.543
2000-07-08,0.0,4.12,9.066
2000-07-09,0.0,4.11,8.613
2000-07-10,0.0,3.51,8.182
2000-07-11,0.0,3.41,7.773
2000-07-12,3.8,3.93,7.384
2000-07-13,0.0,3.13,7.015
2000-07-14,10.3,3.16,6.664
2000-07-15,9.0,3.58,6.331
2000-07-16,0.0,3.24,6.015
2000-07-17,0.0,3.33,5.714
2000-07-18,47.7,3.25,106.23
2000-07-19,12.1,3.37,52.507
2000-07-20,21.5,3.65,92.361
2000-07-21,16.0,3.23,79.854
2000-07-22,0.0,3.36,33.738
2000-07-23,11.7,2.53,55.405
2000-07-24,0.0,3.1,33.342
2000-07-25,9.6,2.83,46.489
2000-07-26,15.3,2.69,82.279
2000-07-27,0.0,2.76,36.57
2000-07-28,20.0,2.9,92.147
2000-07-29,33.3,3.25,160.109
2000-07-30,0.0,2.55,52.98
2000-07-31,0.0,2.93,50.331
2000-08-01,0.0,2.75,47.815
2000-08-02,1.0,2.77,45.424
2000-08-03,0.0,3.14,43.153
2000-08-04,0.0,2.98,40.995
2000-08-05,0.0,3.19,38.945
2000-08-06,10.3,2.72,36.998
2000-08-07,19.7,2.54,61.213
2000-08-08,34.1,2.66,162.162
2000-08-09,5.9,2.77,62.844
2000-08-10,0.0,2.73,49.377
2000-08-11,7.3,2.33,55.968
2000-08-12,75.9,2.66,338.137
2000-08-13,42.7,2.69,239.402
2000-08-14,0.0,3.35,95.454
2000-08-15,3.1,3.14,90.682
2000-08-16,7.9,2.31,95.263
2000-08-17,6.7,2.46,99.9
2000-08-18,0.0,2.09,80.919
2000-08-19,1.0,2.33,76.873
2000-08-20,0.0,2.59,73.03
2000-08-21,23.9,2.84,130.028
2000-08-22,6.3,2.25,89.596
2000-08-23,9.2,2.25,99.509
2000-08-24,28.5,1.79,178.263
2000-08-25,33.2,2.38,204.31
2000-08-26,0.0,2.09,92.431
2000-08-27,0.0,2.24,87.809
2000-08-28,11.7,2.13,104.594
2000-08-29,0.0,2.35,81.872
2000-08-30,0.0,1.84,77.778
2000-08-31,3.5,1.92,73.889
2000-09-01,5.1,2.99,70.195
2000-09-02,33.7,1.96,191.805
2000-09-03,6.5,2.01,96.784
2000-09-04,0.0,2.88,77.134
2000-09-05,0.0,3.2,73.277
2000-09-06,0.0,1.97,69.613
2000-09-07,0.0,2.2,66.133
2000-09-08,0.0,2.41,62.826
2000-09-09,3.7,2.83,59.685
2000-09-10,11.8,2.01,56.7
2000-09-11,4.3,2.23,56.395
2000-09-12,4.2,2.53,58.154
2000-09-13,8.3,2.43,73.177
2000-09-14,0.0,2.19,50.155
2000-09-15,21.2,2.26,114.621
2000-09-16,18.9,1.89,121.486
2000-09-17,0.0,2.23,59.302
2000-09-18,0.0,2.23,56.337
2000-09-19,0.0,2.38,53.52
2000-09-20,14.5,2.15,73.392
2000-09-21,0.0,2.46,51.096
2000-09-22,8.9,2.63,63.872
2000-09-23,0.0,2.38,48.014
2000-09-24,3.9,2.44,45.613
2000-09-25,17.6,2.36,100.657
2000-09-26,0.0,2.35,48.269
2000-09-27,1.7,2.14,45.856
2000-09-28,10.4,2.46,64.342
2000-09-29,0.0,2.35,43.959
2000-09-30,26.0,3.01,124.307
2000-10-01,0.0,2.87,49.902
2000-10-02,0.0,2.52,47.407
2000-10-03,0.0,2.19,45.036
2000-10-04,0.0,2.1,42.785
2000-10-05,7.9,2.8,40.645
2000-10-06,0.0,2.54,38.613
2000-10-07,0.0,2.62,36.682
2000-10-08,1.2,1.97,34.848
2000-10-09,0.0,2.78,33.106
2000-10-10,0.0,2.66,31.451
2000-10-11,0.0,2.21,29.878
2000-10-12,0.0,2.42,28.384
2000-10-13,0.0,2.65,26.965
2000-10-14,0.0,2.61,25.617
2000-10-15,0.0,2.53,24.336
2000-10-16,0.0,2.6,23.119
2000-10-17,0.0,2.58,21.963
2000-10-18,0.0,2.72,20.865
2000-10-19,0.0,3.14,19.822
2000-10-20,0.0,1.95,18.831
2000-10-21,0.0,2.67,17.889
2000-10-22,0.0,2.82,16.995
2000-10-23,0.0,2.87,16.145
2000-10-24,0.0,2.7,15.338
2000-10-25,0.0,2.31,14.571
2000-10-26,0.0,2.96,13.842
2000-10-27,0.0,3.4,13.15
2000-10-28,0.0,2.45,12.493
2000-10-29,0.0,3.2,11.868
2000-10-30,0.0,2.87,11.275
2000-10-31,0.0,2.97,10.711
2000-11-01,0.0,2.7,10.175
2000-11-02,0.0,2.95,9.667
2000-11-03,0.0,3.47,9.183
2000-11-04,0.0,3.28,8.724
2000-11-05,0.0,3.65,8.288
2000-11-06,0.0,3.52,7.873
2000-11-07,0.0,3.33,7.48
2000-11-08,0.0,3.75,7.106
2000-11-09,0.0,3.39,6.751
2000-11-10,0.0,3.54,6.413
2000-11-11,0.0,3.23,6.092
2000-11-12,0.0,3.37,5.788
2000-11-13,0.0,3.17,5.498
2000-11-14,0.0,3.71,5.223
2000-11-15,0.0,3.1,4.962
2000-11-16,0.0,3.72,4.714
2000-11-17,0.0,3.46,4.478
2000-11-18,0.0,3.9,4.255
2000-11-19,0.0,3.81,4.042
2000-11-20,0.0,4.17,3.84
2000-11-21,0.0,3.87,3.648
2000-11-22,0.0,3.22,3.465
2000-11-23,0.0,3.7,3.292
2000-11-24,0.0,3.41,3.127
2000-11-25,0.0,3.64,2.971
2000-11-26,0.0,4.29,2.823
2000-11-27,0.0,4.06,2.681
2000-11-28,0.0,3.69,2.547
2000-11-29,0.0,3.64,2.42
2000-11-30,13.2,3.99,2.299
2000-12-01,0.0,3.65,2.184
2000-12-02,0.0,3.85,2.075
2000-12-03,0.0,4.18,1.971
2000-12-04,0.0,4.47,1.873
2000-12-05,0.0,4.35,1.779
2000-12-06,0.0,3.51,1.69
2000-12-07,0.0,4.33,1.605
2000-12-08,0.0,4.3,1.525
2000-12-09,0.0,4.44,1.449
2000-12-10,0.0,4.84,1.376
2000-12-11,0.0,3.77,1.308
2000-12-12,0.0,4.25,1.242
2000-12-13,0.0,4.64,1.18
2000-12-14,0.0,4.03,1.121
2000-12-15,0.0,4.98,1.065
2000-12-16,0.0,4.69,1.012
2000-12-17,0.0,4.87,0.961
2000-12-18,0.0,4.48,0.913
2000-12-19,0.0,4.94,0.868
2000-12-20,0.0,5.05,0.824
2000-12-21,0.0,4.84,0.783
2000-12-22,0.0,4.87,0.744
2000-12-23,0.0,4.92,0.707
2000-12-24,0.0,4.62,0.671
2000-12-25,0.0,4.87,0.638
2000-12-26,0.0,4.91,0.606
2000-12-27,0.0,5.11,0.576
2000-12-28,0.0,5.33,0.547
2000-12-29,0.0,4.75,0.519
2000-12-30,0.0,5.06,0.493
2000-12-31,0.0,5.58,0.469
2001-01-01,0.0,4.92,0.445
2001-01-02,0.0,4.93,0.423
2001-01-03,0.0,5.28,0.402
2001-01-04,0.0,5.51,0.382
2001-01-05,0.0,5.29,0.363
2001-01-06,0.0,5.72,0.345
2001-01-07,0.0,5.62,0.327
2001-01-08,0.0,5.65,0.311
2001-01-09,0.0,5.59,0.295
2001-01-10,0.0,6.16,0.281
2001-01-11,0.0,5.43,0.267
2001-01-12,0.0,4.93,0.253
2001-01-13,0.0,6.04,0.241
2001-01-14,0.0,5.46,0.229
2001-01-15,0.0,5.66,0.217
2001-01-16,0.0,6.05,0.206
2001-01-17,0.0,5.21,0.196
2001-01-18,0.0,5.35,0.186
2001-01-19,0.0,5.28,0.177
2001-01-20,0.0,5.55,0.168
2001-01-21,0.0,5.95,0.16
2001-01-22,0.0,6.0,0.152
2001-01-23,0.0,5.96,0.144
2001-01-24,0.0,5.48,0.137
2001-01-25,0.0,5.24,0.13
2001-01-26,0.0,5.98,0.124
2001-01-27,0.0,5.85,0.117
2001-01-28,0.0,6.16,0.111
2001-01-29,0.0,6.26,0.106
2001-01-30,3.8,6.11,0.101
2001-01-31,0.0,6.33,0.096
2001-02-01,0.0,6.19,0.091
2001-02-02,0.0,6.31,0.086
2001-02-03,0.0,5.96,0.082
2001-02-04,0.0,6.15,0.078
2001-02-05,0.0,6.28,0.074
2001-02-06,22.9,6.49,0.07
2001-02-07,0.0,6.15,0.067
2001-02-08,0.0,6.45,0.063
2001-02-09,0.0,6.23,0.06
2001-02-10,2.1,6.3,0.057
2001-02-11,0.0,6.6,0.054
2001-02-12,0.0,5.78,0.052
2001-02-13,0.0,6.01,0.049
2001-02-14,0.0,5.97,0.047
2001-02-15,0.0,5.73,0.044
2001-02-16,0.0,6.25,0.042
2001-02-17,0.0,6.69,0.04
2001-02-18,0.0,6.4,0.038
2001-02-19,3.2,6.56,0.036
2001-02-20,0.0,6.84,0.034
2001-02-21,0.0,6.93,0.033
2001-02-22,0.0,6.52,0.031
2001-02-23,0.0,6.96,0.029
2001-02-24,0.0,6.6,0.028
2001-02-25,0.0,6.33,0.027
2001-02-26,0.0,6.42,0.025
2001-02-27,0.0,6.16,0.024
2001-02-28,0.0,6.35,0.023
2001-03-01,0.0,6.52,0.022
2001-03-02,4.2,6.88,0.021
2001-03-03,0.0,7.16,0.019
2001-03-04,0.0,6.24,0.019
2001-03-05,0.0,6.78,0.018
2001-03-06,0.0,6.36,0.017
2001-03-07,0.0,6.82,0.016
2001-03-08,0.0,6.64,0.015
2001-03-09,0.0,6.13,0.014
2001-03-10,0.0,6.97,0.014
2001-03-11,0.0,6.51,0.013
2001-03-12,0.0,6.53,0.012
2001-03-13,0.0,6.38,0.012
2001-03-14,0.0,6.5,0.011
2001-03-15,0.0,6.83,0.011
2001-03-16,0.0,6.64,0.01
2001-03-17,0.0,6.8,0.01
2001-03-18,0.0,6.81,0.009
2001-03-19,0.0,7.09,0.009
2001-03-20,0.0,6.59,0.008
2001-03-21,0.0,6.25,0.008
2001-03-22,0.0,7.01,0.007
2001-03-23,0.0,6.58,0.007
2001-03-24,0.0,7.01,0.007
2001-03-25,0.0,6.79,0.006
2001-03-26,0.0,6.63,0.006
2001-03-27,0.0,6.77,0.006
2001-03-28,0.0,7.24,0.005
2001-03-29,0.0,7.27,0.005
2001-03-30,0.0,6.66,0.005
2001-03-31,0.0,6.68,0.005
2001-04-01,0.0,6.94,0.004
2001-04-02,0.0,6.35,0.004
2001-04-03,0.0,6.7,0.004
2001-04-04,0.0,6.58,0.004
2001-04-05,0.0,6.67,0.004
2001-04-06,0.0,6.31,0.003
2001-04-07,0.0,6.07,0.003
2001-04-08,0.0,5.91,0.003
2001-04-09,0.0,6.18,0.003
2001-04-10,0.0,6.36,0.003
2001-04-11,0.0,6.4,0.003
2001-04-12,0.0,7.05,0.003
2001-04-13,0.0,6.78,0.002
2001-04-14,0.0,6.14,0.002
2001-04-15,0.0,6.52,0.002
2001-04-16,0.0,6.27,0.002
2001-04-17,0.0,6.29,0.002
2001-04-18,0.0,6.41,0.002
2001-04-19,0.0,6.52,0.002
2001-04-20,0.0,6.21,0.002
2001-04-21,0.0,6.61,0.002
2001-04-22,0.0,5.93,0.001
2001-04-23,0.0,6.25,0.001
2001-04-24,0.0,7.0,0.001
2001-04-25,0.0,6.27,0.001
2001-04-26,10.0,6.61,0.001
2001-04-27,0.0,6.18,0.001
2001-04-28,0.0,6.3,0.001
2001-04-29,0.0,6.08,0.001
2001-04-30,0.0,6.02,0.001
2001-05-01,0.0,5.81,0.001
2001-05-02,0.0,6.15,0.001
2001-05-03,0.0,5.74,0.001
2001-05-04,0.0,6.16,0.001
2001-05-05,0.0,6.26,0.001
2001-05-06,2.7,6.02,0.001
2001-05-07,0.0,5.79,0.001
2001-05-08,0.0,5.98,0.001
2001-05-09,3.9,5.72,0.001
2001-05-10,0.0,6.07,0.001
2001-05-11,0.0,5.21,0.001
2001-05-12,0.0,5.62,0.001
2001-05-13,0.0,5.1,0.001
2001-05-14,0.0,5.21,0.0
2001-05-15,0.0,6.04,0.0
2001-05-16,0.0,5.86,0.0
2001-05-17,0.0,5.35,0.0
2001-05-18,0.0,5.08,0.0
2001-05-19,0.0,4.61,0.0
2001-05-20,0.0,5.3,0.0
2001-05-21,0.0,6.15,0.0
2001-05-22,5.8,5.52,0.0
2001-05-23,8.4,5.19,0.0
2001-05-24,0.0,5.46,0.0
2001-05-25,0.0,4.82,0.0
2001-05-26,1.3,5.16,0.0
2001-05-27,10.4,5.25,0.0
2001-05-28,0.0,5.16,0.0
2001-05-29,0.0,5.38,0.0
2001-05-30,8.0,5.21,0.0
2001-05-31,17.7,5.27,0.0
2001-06-01,0.0,4.83,0.0
2001-06-02,0.0,5.27,0.0
2001-06-03,22.1,5.45,0.0
2001-06-04,0.0,4.63,0.0
2001-06-05,0.0,4.62,0.0
2001-06-06,23.1,5.25,0.0
2001-06-07,0.0,4.76,0.0
2001-06-08,0.0,5.2,0.0
2001-06-09,0.0,4.61,0.0
2001-06-10,0.0,5.14,0.0
2001-06-11,0.0,4.7,0.0
2001-06-12,0.0,4.7,0.0
2001-06-13,0.0,5.06,0.0
2001-06-14,0.0,4.44,0.0
2001-06-15,0.0,4.23,0.0
2001-06-16,0.0,4.34,0.0
2001-06-17,0.0,4.57,0.0
2001-06-18,8.0,3.93,0.0
2001-06-19,2.7,4.55,0.0
2001-06-20,0.0,4.16,0.0
2001-06-21,0.0,4.63,0.0
2001-06-22,21.7,3.53,0.0
2001-06-23,0.0,3.97,0.0
2001-06-24,7.8,3.67,0.0
2001-06-25,11.4,3.89,0.0
2001-06-26,0.0,4.17,0.0
2001-06-27,30.5,4.01,0.0
2001-06-28,0.0,3.95,0.0
2001-06-29,52.5,3.94,0.0
2001-06-30,0.0,4.01,0.0
2001-07-01,13.6,3.61,0.0
2001-07-02,0.0,4.09,0.0
2001-07-03,0.0,4.04,0.0
2001-07-04,8.1,3.92,0.0
2001-07-05,33.8,3.94,8.642
2001-07-06,19.9,3.82,65.279
2001-07-07,0.0,4.31,8.974
2001-07-08,0.0,3.64,8.525
2001-07-09,3.2,3.54,8.099
2001-07-10,0.2,3.37,7.694
2001-07-11,0.0,3.25,7.309
2001-07-12,0.0,3.15,6.944
2001-07-13,0.0,3.22,6.596
2001-07-14,9.1,3.44,6.267
2001-07-15,0.0,3.52,5.953
2001-07-16,0.0,3.41,5.656
2001-07-17,5.1,3.13,5.373
2001-07-18,9.6,3.6,5.104
2001-07-19,48.0,3.52,135.179
2001-07-20,0.0,3.22,20.756
2001-07-21,9.7,3.04,33.632
2001-07-22,0.0,3.37,20.457
2001-07-23,0.0,3.23,19.434
2001-07-24,0.0,2.71,18.462
2001-07-25,0.0,3.09,17.539
2001-07-26,54.5,3.16,173.882
2001-07-27,0.0,2.78,35.311
2001-07-28,7.1,3.08,38.652
2001-07-29,0.0,2.56,32.501
2001-07-30,0.0,3.37,30.876
2001-07-31,0.0,3.32,29.332
2001-08-01,0.0,2.84,27.865
2001-08-02,41.5,3.0,133.555
2001-08-03,0.0,2.14,38.417
2001-08-04,0.0,2.49,36.496
2001-08-05,0.0,2.73,34.672
2001-08-06,37.1,2.47,142.48
2001-08-07,31.4,2.98,158.347
2001-08-08,0.0,3.34,56.684
2001-08-09,28.1,2.37,143.398
2001-08-10,0.0,2.45,62.253
2001-08-11,0.0,2.75,59.14
2001-08-12,0.0,3.14,56.183
2001-08-13,19.5,2.27,89.629
2001-08-14,0.0,2.69,55.198
2001-08-15,16.3,3.14,94.399
2001-08-16,58.6,2.08,280.703
2001-08-17,0.0,2.18,80.23
2001-08-18,7.1,2.42,86.297
2001-08-19,20.5,2.37,146.051
2001-08-20,29.3,2.75,184.96
2001-08-21,0.0,2.57,88.134
2001-08-22,0.0,1.95,83.727
2001-08-23,48.3,2.62,244.2
2001-08-24,27.9,2.28,198.269
2001-08-25,0.0,2.82,103.846
2001-08-26,2.8,2.24,98.653
2001-08-27,0.0,2.22,93.721
2001-08-28,0.0,2.56,89.035
2001-08-29,0.0,2.62,84.583
2001-08-30,0.0,2.51,80.354
2001-08-31,0.0,1.86,76.336
2001-09-01,0.0,2.52,72.519
2001-09-02,2.6,2.04,68.893
2001-09-03,26.5,2.41,101.25
2001-09-04,0.0,1.91,66.612
2001-09-05,14.2,2.46,102.619
2001-09-06,0.0,2.08,64.992
2001-09-07,0.0,1.93,61.742
2001-09-08,0.0,2.53,58.655
2001-09-09,16.5,2.38,86.526
2001-09-10,0.0,2.12,56.753
2001-09-11,0.0,2.74,53.916
2001-09-12,15.9,2.17,86.934
2001-09-13,0.0,2.31,53.084
2001-09-14,0.0,2.38,50.43
2001-09-15,0.0,2.11,47.909
2001-09-16,0.0,2.44,45.513
2001-09-17,19.2,2.14,75.393
2001-09-18,0.0,2.18,45.06
2001-09-19,0.0,2.72,42.807
2001-09-20,39.8,2.0,172.323
2001-09-21,0.0,1.59,54.947
2001-09-22,5.2,2.8,55.515
2001-09-23,3.1,3.09,50.041
2001-09-24,0.0,2.21,47.506
2001-09-25,11.2,1.75,74.11
2001-09-26,0.0,2.25,46.465
2001-09-27,8.2,2.26,58.968
2001-09-28,0.0,2.3,43.772
2001-09-29,12.1,2.03,72.694
2001-09-30,0.0,2.55,43.359
2001-10-01,10.7,2.54,63.71
2001-10-02,0.0,1.95,41.922
2001-10-03,0.0,2.62,39.826
2001-10-04,8.5,3.04,41.732
2001-10-05,0.0,2.49,36.426
2001-10-06,0.0,2.35,34.604
2001-10-07,0.0,2.42,32.874
2001-10-08,0.0,2.66,31.231
2001-10-09,25.6,1.97,85.427
2001-10-10,0.0,2.56,35.095
2001-10-11,0.0,2.41,33.34
2001-10-12,0.0,3.09,31.673
2001-10-13,0.0,2.5,30.089
2001-10-14,0.0,3.08,28.585
2001-10-15,0.0,2.26,27.156
2001-10-16,0.0,2.79,25.798
2001-10-17,0.0,2.73,24.508
2001-10-18,0.0,2.39,23.283
2001-10-19,0.0,2.73,22.118
2001-10-20,0.0,3.06,21.012
2001-10-21,0.0,2.62,19.962
2001-10-22,0.0,2.23,18.964
2001-10-23,0.0,2.76,18.016
2001-10-24,2.3,2.51,17.115
2001-10-25,0.0,2.71,16.259
2001-10-26,0.0,2.81,15.446
2001-10-27,0.0,2.35,14.674
2001-10-28,0.0,2.4,13.94
2001-10-29,0.0,3.06,13.243
2001-10-30,0.0,2.78,12.581
2001-10-31,0.0,2.19,11.952
2001-11-01,0.0,3.23,11.354
2001-11-02,0.0,3.1,10.787
2001-11-03,0.0,2.83,10.247
2001-11-04,0.0,2.68,9.735
2001-11-05,0.0,3.36,9.248
2001-11-06,0.0,3.24,8.786
2001-11-07,0.0,3.88,8.346
2001-11-08,7.4,3.32,7.929
2001-11-09,9.2,3.34,7.533
2001-11-10,0.0,3.21,7.156
2001-11-11,0.0,3.53,6.798
2001-11-12,0.0,3.51,6.458
2001-11-13,0.0,3.73,6.135
2001-11-14,0.0,3.23,5.829
2001-11-15,0.0,3.29,5.537
2001-11-16,0.0,3.31,5.26
2001-11-17,0.0,3.72,4.997
2001-11-18,0.0,3.97,4.747
2001-11-19,0.0,3.41,4.51
2001-11-20,3.5,3.46,4.285
2001-11-21,0.0,3.71,4.07
2001-11-22,0.0,3.58,3.867
2001-11-23,0.0,3.97,3.673
2001-11-24,0.0,3.05,3.49
2001-11-25,0.0,3.51,3.315
2001-11-26,0.0,3.56,3.15
2001-11-27,0.0,3.14,2.992
2001-11-28,0.0,3.58,2.842
2001-11-29,0.0,3.63,2.7
2001-11-30,0.0,3.88,2.565
2001-12-01,4.0,4.31,2.437
2001-12-02,0.0,3.94,2.315
2001-12-03,0.0,3.74,2.199
2001-12-04,0.0,4.07,2.089
2001-12-05,0.0,4.44,1.985
2001-12-06,0.0,3.87,1.886
2001-12-07,0.0,3.93,1.791
2001-12-08,0.0,4.41,1.702
2001-12-09,0.0,4.21,1.617
2001-12-10,5.8,4.51,1.536
2001-12-11,0.0,4.35,1.459
2001-12-12,0.0,4.6,1.386
2001-12-13,0.0,4.12,1.317
2001-12-14,0.0,4.46,1.251
2001-12-15,0.0,4.44,1.188
2001-12-16,0.0,4.18,1.129
2001-12-17,0.0,4.11,1.073
2001-12-18,0.0,4.82,1.019
2001-12-19,19.5,4.55,0.968
2001-12-20,0.0,4.38,0.92
2001-12-21,0.0,4.7,0.874
2001-12-22,0.0,5.11,0.83
2001-12-23,0.0,4.12,0.788
2001-12-24,0.0,4.39,0.749
2001-12-25,0.0,4.6,0.712
2001-12-26,0.0,5.35,0.676
2001-12-27,0.0,5.04,0.642
2001-12-28,0.0,5.22,0.61
2001-12-29,0.0,4.68,0.58
2001-12-30,0.0,4.73,0.551
2001-12-31,0.0,5.23,0.523
2002-01-01,0.0,5.16,0.497
2002-01-02,0.0,5.35,0.472
2002-01-03,16.8,5.16,0.448
2002-01-04,0.0,5.34,0.426
